iter	Passed	Remaining
829	2724	558
830	2727	554
831	2731	551
832	2734	548
833	2737	544
834	2741	541
835	2744	538
836	2748	535
837	2751	531
838	2755	528
839	2758	525
840	2761	522
841	2764	518
842	2767	515
843	2771	512
844	2774	508
845	2777	505
846	2780	502
847	2784	499
848	2787	495
849	2791	492
850	2794	489
851	2798	486
852	2801	482
853	2804	479
854	2807	476
855	2811	473
856	2814	469
857	2818	466
858	2821	463
859	2825	459
860	2828	456
861	2831	453
862	2835	450
863	2838	446
864	2841	443
865	2845	440
866	2848	436
867	2852	433
868	2855	430
869	2858	427
870	2861	423
871	2865	420
872	2869	417
873	2872	414
874	2875	410
875	2879	407
876	2883	404
877	2886	401
878	2890	397
879	2893	394
880	2897	391
881	2901	388
882	2904	384
883	2907	381
884	2911	378
885	2914	375
886	2918	371
887	2921	368
888	2924	365
889	2927	361
890	2930	358
891	2933	355
892	2936	351
893	2940	348
894	2946	345
895	2952	342
896	2957	339
897	2963	336
898	2968	333
899	2974	330
900	2979	327
901	2985	324
902	2991	321
903	2996	318
904	3000	315
905	3004	311
906	3008	308
907	3012	305
908	3015	301
909	3018	298
910	3022	295
911	3025	291
912	3028	288
913	3031	285
914	3033	281
915	3036	278
916	3039	275
917	3042	271
918	3044	268
919	3047	264
920	3049	261
921	3052	258
922	3054	254
923	3056	251
924	3058	248
925	3061	244
926	3063	241
927	3065	237
928	3067	234
929	3069	231
930	3071	227
931	3073	224
932	3075	220
933	3078	217
934	3080	214
935	3082	210
936	3085	207
937	3087	204
938	3089	200
939	3091	197
940	3093	193
941	3096	190
942	3098	187
943	3101	183
944	3104	180
945	3107	177
946	3110	174
947	3112	170
948	3115	167
949	3119	164
950	3122	160
951	3125	157
952	3128	154
953	3131	150
954	3134	147
955	3138	144
956	3141	141
957	3144	137
958	3147	134
959	3151	131
960	3155	128
961	3158	124
962	3161	121
963	3165	118
964	3169	114
965	3172	111
966	3175	108
967	3179	105
968	3183	101
969	3186	98
970	3189	95
971	3193	91
972	3196	88
973	3200	85
974	3203	82
975	3206	78
976	3209	75
977	3213	72
978	3216	68
979	3219	65
980	3222	62
981	3226	59
982	3229	55
983	3233	52
984	3236	49
985	3239	45
986	3242	42
987	3246	39
988	3249	36
989	3252	32
990	3255	29
991	3258	26
992	3262	22
993	3265	19
994	3269	16
995	3272	13
996	3275	9
997	3280	6
998	3283	3
999	3286	0
